,pref,depression,loneliness,choosingRM,meetingRM,wellbeing,Unnamed: 0_x,suicide_rate_2020,Unnamed: 0_y,suicide_rate_male_2020,Unnamed: 0,suicide_rate_female_2020,kenname,region
26,5,0.76271186440678,13.8983050847458,-25.2372881355932,-16.9152542372881,-2.72881355932203,11,19.2812,11,28.79578,11,10.76778,秋田県,北海道・東北
27,4,0.822335025380711,13.6142131979695,-25.1319796954315,-16.7664974619289,-2.79187817258883,10,18.05979,10,24.77836,10,11.6648,宮城県,北海道・東北
28,31,0.886363636363636,11.9772727272727,-24.5681818181818,-17.8181818181818,-3.11363636363636,37,13.89941,37,23.08222,37,5.468777,鳥取県,中国
29,36,1.16279069767442,14.0116279069767,-24.593023255814,-17.0232558139535,-2.58139534883721,42,14.68004,42,20.00648,42,9.803415,徳島県,四国
30,8,0.605263157894737,14.1315789473684,-25.2631578947368,-17.1052631578947,-2.5,14,15.98529,14,21.70976,14,10.2289,茨城県,関東
31,3,1.11111111111111,12.6984126984127,-24.8412698412698,-16.8730158730159,-2.53968253968254,9,21.44851,9,29.08316,9,14.35994,岩手県,北海道・東北
32,45,0.790697674418605,13.2093023255814,-25.0697674418605,-16.8139534883721,-2.7906976744186,51,20.16602,51,28.33134,51,12.824,宮崎県,九州・沖縄
33,24,0.722222222222222,12.8888888888889,-25.4444444444444,-16.4259259259259,-2.77777777777778,30,17.58681,30,23.17964,30,12.21426,三重県,中部
34,41,0.709677419354839,13.1612903225806,-25.6451612903226,-16.6774193548387,-2.70967741935484,47,14.08092,47,22.72849,47,6.24666,佐賀県,九州・沖縄
35,44,1.04545454545455,13.1590909090909,-24.25,-16.5,-2.93181818181818,50,16.15665,50,23.92039,50,9.112311,大分県,九州・沖縄
36,6,1.11290322580645,13.9838709677419,-24.5967741935484,-16.241935483871,-2.35483870967742,12,17.27808,12,24.68314,12,10.36321,山形県,北海道・東北
37,47,0.553191489361702,11.7872340425532,-26.8723404255319,-17.3829787234043,-3.08510638297872,53,14.03938,53,21.20006,53,7.06274,沖縄県,九州・沖縄
38,22,0.964912280701754,13.4122807017544,-25.3771929824561,-17.3157894736842,-2.71929824561404,28,16.42149,28,22.62868,28,10.34887,静岡県,中部
39,29,1.0377358490566,13.0377358490566,-24.7924528301887,-17.0754716981132,-2.79245283018868,35,14.84669,35,19.60068,35,10.54849,奈良県,近畿
40,16,0.930232558139535,13.3023255813954,-24.3023255813954,-16.6046511627907,-2.58139534883721,22,20.54926,22,29.44589,22,12.15036,富山県,中部
41,21,0.615384615384615,12.1730769230769,-25.5576923076923,-17.1538461538462,-2.76923076923077,27,15.74424,27,21.20086,27,10.55699,岐阜県,中部
42,18,0.916666666666667,13.5833333333333,-25.25,-16.3333333333333,-2.66666666666667,24,16.15275,24,23.21036,24,9.47839,福井県,中部
43,10,1.26923076923077,14.5384615384615,-24.8076923076923,-17.5,-2.23076923076923,16,18.43164,16,24.47444,16,12.48854,群馬県,関東
44,9,0.5,12.0909090909091,-23.5,-16.5,-2.86363636363636,15,16.5351,15,23.08813,15,9.976312,栃木県,関東
45,17,0.790697674418605,12.8604651162791,-24.9069767441861,-17.3953488372093,-3.02325581395349,23,15.1806,23,22.61948,23,8.177298,石川県,中部
46,19,0.739130434782609,11.9565217391304,-25.5217391304348,-15.7826086956522,-2.8695652173913,25,15.84845,25,21.9493,25,9.973902,山梨県,中部
