,RegionA,suicide_rate_reg_male
0,中国,21.608257083670015
1,九州,25.11465099791496
2,北海道,22.581831823628608
3,北関東,22.696323195642307
4,北陸,25.360110079598698
5,南関東,20.30414024211016
6,四国,23.95282793422142
7,東北,27.540700882347075
8,東海,22.057182007064448
9,沖縄,21.140928154942543
10,近畿,21.28596927614079
