,   ,都道府県コード   ,都道府県名   ,自殺者数   ,自殺死亡率   ,年換算した自殺死亡率   ,年齢 (10歳階級）別 20歳未満  ,年齢 (10歳階級）別 20-29  ,年齢 (10歳階級）別 30-39  ,年齢 (10歳階級）別 40-49  ,年齢 (10歳階級）別 50-59  ,年齢 (10歳階級）別 60-69  ,年齢 (10歳階級）別 70-79  ,年齢 (10歳階級）別 80歳以上  ,年齢 (10歳階級）別 不詳  ,同居人の有無 あり  ,同居人の有無 なし  ,同居人の有無 不詳  ,職業別 自営業・家族従業者  ,職業別 被雇用・勤め人  ,職業別 無職  ,職業別 無職 学生・生徒等 ,職業別 無職 無職者 ,職業別 無職  主婦,職業別 無職  失業者,職業別 無職  年金・雇用保険等生活者,職業別 無職  その他の無職者,職業別 不詳  ,場所別 自宅等  ,場所別 高層ビル  ,場所別 乗物  ,場所別 海（湖）・河川等  ,場所別 山  ,場所別 その他  ,場所別 不詳  ,手段別 首つり  ,手段別 服毒  ,手段別 練炭等  ,手段別 飛降り  ,手段別 飛込み  ,手段別 その他  ,手段別 不詳  ,自殺の時間帯別 0-2時  ,自殺の時間帯別 2-4時  ,自殺の時間帯別 4-6時  ,自殺の時間帯別 6-8時  ,自殺の時間帯別 8-10時  ,自殺の時間帯別 10-12時  ,自殺の時間帯別 12-14時  ,自殺の時間帯別 14-16時  ,自殺の時間帯別 16-18時  ,自殺の時間帯別 18-20時  ,自殺の時間帯別 20-22時  ,自殺の時間帯別 22-24時  ,自殺の時間帯別 不詳  ,自殺の曜日別 日曜  ,自殺の曜日別 月曜  ,自殺の曜日別 火曜  ,自殺の曜日別 水曜  ,自殺の曜日別 木曜  ,自殺の曜日別 金曜  ,自殺の曜日別 土曜  ,自殺の曜日別 不詳  ,原因・動機別 家庭問題  ,原因・動機別 健康問題  ,原因・動機別 経済・生活問題  ,原因・動機別 勤務問題  ,原因・動機別 男女問題  ,原因・動機別 学校問題  ,原因・動機別 その他  ,原因・動機別 不詳  ,自殺未遂歴の有無 あり  ,自殺未遂歴の有無 なし  ,自殺未遂歴の有無 不詳  ,year,month
18,,12,千葉県,664,21.05853,21.05853,22,72,88,117,121,104,78,62,0,409,254,1,45,252,363,29,334,0,23,193,118,4,400,48,39,23,25,129,0,445,13,43,59,31,73,0,34,42,57,57,48,48,60,45,53,31,22,39,128,91,97,101,99,81,90,80,25,100,304,136,60,14,15,38,178,82,505,77,2020,0
19,,13,東京都,1396,20.51342,20.51342,47,225,208,266,239,158,164,88,1,712,669,15,88,558,712,93,619,0,46,154,419,38,771,165,36,70,29,325,0,859,22,63,221,71,158,2,161,68,93,113,71,85,88,91,62,64,61,63,376,172,214,183,194,212,165,175,81,107,454,207,101,39,29,37,659,184,742,470,2020,0
20,,14,神奈川県,845,18.3926,18.3926,30,122,104,173,167,95,96,58,0,503,338,4,58,352,421,51,370,0,46,107,217,14,522,44,35,25,19,200,0,615,6,48,67,45,64,0,59,36,40,51,29,36,46,48,43,46,31,26,354,100,107,129,109,116,91,91,102,86,270,148,114,22,19,37,365,113,603,129,2020,0
21,,15,新潟県,282,25.96119,25.96119,5,31,32,42,49,51,38,34,0,202,80,0,22,86,172,10,162,0,14,92,56,2,187,2,23,22,2,46,0,203,8,19,15,2,31,4,21,7,17,27,22,15,19,17,20,14,9,8,86,35,38,28,43,40,44,40,14,19,58,31,16,5,3,11,188,38,170,74,2020,0
22,,16,富山県,151,29.44589,29.44589,2,19,14,25,26,19,29,17,0,106,45,0,10,56,84,5,79,0,8,48,23,1,105,0,11,8,0,27,0,114,3,15,7,0,12,0,4,9,19,16,6,9,12,16,12,8,8,8,24,20,15,21,25,26,16,18,10,25,65,32,19,3,2,9,35,21,107,23,2020,0
23,,17,石川県,125,22.61948,22.61948,2,11,21,23,24,11,17,16,0,83,42,0,7,53,64,4,60,0,6,36,18,1,73,10,13,9,0,20,0,89,2,11,12,1,10,0,8,11,8,10,6,12,12,8,10,5,6,6,23,17,21,10,16,18,18,24,1,6,26,15,9,0,0,3,78,14,99,12,2020,0
24,,18,福井県,88,23.21036,23.21036,5,11,10,14,14,14,12,8,0,62,25,1,8,34,45,5,40,0,6,19,15,1,45,2,16,4,5,16,0,63,0,15,3,1,6,0,6,11,8,9,3,5,8,2,14,5,4,4,9,8,17,18,14,10,11,10,0,15,25,23,10,7,2,6,33,9,64,15,2020,0
25,,19,山梨県,89,21.9493,21.9493,1,5,7,16,20,13,16,11,0,51,38,0,10,34,45,1,44,0,3,19,22,0,49,0,1,11,9,19,0,59,1,3,11,3,12,0,3,10,3,6,7,13,6,9,3,3,1,1,24,16,11,10,14,13,12,10,3,8,29,14,5,0,0,4,41,5,55,29,2020,0
26,,20,長野県,222,21.76272,21.76272,11,20,42,25,43,22,27,32,0,155,65,2,17,87,114,12,102,0,8,54,40,4,121,1,27,16,8,49,0,143,7,28,23,3,18,0,21,7,10,15,10,14,13,12,16,7,9,8,80,31,31,28,29,28,37,25,13,35,66,35,20,6,3,22,83,21,117,84,2020,0
27,,21,岐阜県,210,21.20086,21.20086,6,23,29,36,39,23,27,27,0,144,66,0,12,83,114,9,105,0,10,50,45,1,124,3,23,16,4,40,0,143,3,26,18,1,18,1,17,11,13,16,14,16,18,18,10,15,6,12,44,21,32,37,33,23,28,24,12,17,69,36,32,3,3,13,85,34,123,53,2020,0
28,,22,静岡県,415,22.62868,22.62868,13,48,63,79,61,57,68,26,0,255,157,3,28,167,217,16,201,0,15,60,126,3,234,4,38,23,21,95,0,296,7,45,24,8,35,0,60,22,25,26,26,36,30,20,27,18,18,17,90,46,76,66,61,59,56,37,14,52,128,75,45,8,3,18,170,51,300,64,2020,0
29,,23,愛知県,818,21.53579,21.53579,33,118,97,158,119,106,118,69,0,511,297,10,71,324,410,47,363,0,27,143,193,13,443,56,64,34,25,196,0,549,3,86,87,18,75,0,161,49,79,89,58,68,74,46,65,38,29,47,15,111,148,129,107,126,99,92,6,115,292,140,92,29,19,38,269,123,583,112,2020,0
