,RegionA,suicide_rate_reg_tot
0,中国,15.221257432190328
1,九州,17.074973258263473
2,北海道,17.690713542021278
3,北関東,16.675968837761147
4,北陸,17.462135761337276
5,南関東,15.676778433451014
6,四国,16.40621142350166
7,東北,19.382179919013918
8,東海,16.35150789383483
9,沖縄,14.002170336402143
10,近畿,15.804017754085988
