,   ,都道府県コード   ,都道府県名   ,自殺者数   ,自殺死亡率   ,年換算した自殺死亡率   ,年齢 (10歳階級）別 20歳未満  ,年齢 (10歳階級）別 20-29  ,年齢 (10歳階級）別 30-39  ,年齢 (10歳階級）別 40-49  ,年齢 (10歳階級）別 50-59  ,年齢 (10歳階級）別 60-69  ,年齢 (10歳階級）別 70-79  ,年齢 (10歳階級）別 80歳以上  ,年齢 (10歳階級）別 不詳  ,同居人の有無 あり  ,同居人の有無 なし  ,同居人の有無 不詳  ,職業別 自営業・家族従業者  ,職業別 被雇用・勤め人  ,職業別 無職  ,職業別 無職 学生・生徒等 ,職業別 無職 無職者 ,職業別 無職  主婦,職業別 無職  失業者,職業別 無職  年金・雇用保険等生活者,職業別 無職  その他の無職者,職業別 不詳  ,場所別 自宅等  ,場所別 高層ビル  ,場所別 乗物  ,場所別 海（湖）・河川等  ,場所別 山  ,場所別 その他  ,場所別 不詳  ,手段別 首つり  ,手段別 服毒  ,手段別 練炭等  ,手段別 飛降り  ,手段別 飛込み  ,手段別 その他  ,手段別 不詳  ,自殺の時間帯別 0-2時  ,自殺の時間帯別 2-4時  ,自殺の時間帯別 4-6時  ,自殺の時間帯別 6-8時  ,自殺の時間帯別 8-10時  ,自殺の時間帯別 10-12時  ,自殺の時間帯別 12-14時  ,自殺の時間帯別 14-16時  ,自殺の時間帯別 16-18時  ,自殺の時間帯別 18-20時  ,自殺の時間帯別 20-22時  ,自殺の時間帯別 22-24時  ,自殺の時間帯別 不詳  ,自殺の曜日別 日曜  ,自殺の曜日別 月曜  ,自殺の曜日別 火曜  ,自殺の曜日別 水曜  ,自殺の曜日別 木曜  ,自殺の曜日別 金曜  ,自殺の曜日別 土曜  ,自殺の曜日別 不詳  ,原因・動機別 家庭問題  ,原因・動機別 健康問題  ,原因・動機別 経済・生活問題  ,原因・動機別 勤務問題  ,原因・動機別 男女問題  ,原因・動機別 学校問題  ,原因・動機別 その他  ,原因・動機別 不詳  ,自殺未遂歴の有無 あり  ,自殺未遂歴の有無 なし  ,自殺未遂歴の有無 不詳  ,year,month
19,,13,東京都,806,11.46576,11.46576,44,149,102,128,124,100,89,70,0,499,299,8,23,214,550,62,488,128,7,108,245,19,517,132,5,20,2,130,0,473,30,24,163,34,82,0,79,48,47,45,54,49,72,44,66,52,37,53,160,125,112,122,125,106,101,96,19,88,386,30,34,43,13,33,321,222,350,234,2020,0
20,,14,神奈川県,472,10.22707,10.22707,17,67,56,85,74,61,71,41,0,345,127,0,14,102,351,31,320,112,6,88,114,5,355,37,7,5,1,67,0,340,27,14,48,21,22,0,32,22,19,37,19,24,35,29,21,25,21,17,171,71,77,57,60,51,69,56,31,89,221,30,21,19,9,24,176,162,268,42,2020,0
21,,15,新潟県,150,13.04569,13.04569,4,15,10,18,24,13,31,35,0,124,26,0,2,29,117,5,112,29,2,63,18,2,110,2,4,14,2,18,0,107,8,4,6,3,21,1,15,4,12,8,8,9,13,10,8,10,4,4,45,18,18,21,23,21,27,16,6,16,48,6,7,6,0,7,89,34,75,41,2020,0
22,,16,富山県,66,12.15036,12.15036,2,4,6,10,9,8,14,13,0,51,15,0,1,14,51,2,49,10,2,32,5,0,44,1,2,12,1,6,0,40,0,2,9,1,14,0,2,5,7,6,3,5,3,6,12,2,2,3,10,3,11,6,9,15,11,9,2,9,46,2,0,0,1,6,14,15,44,7,2020,0
23,,17,石川県,48,8.177298,8.177298,1,9,3,9,8,2,9,7,0,40,8,0,1,16,31,3,28,7,0,14,7,0,29,2,5,5,0,7,0,27,1,5,3,0,12,0,3,3,2,6,3,5,6,3,2,5,0,1,9,5,6,10,6,6,6,9,0,0,16,1,3,2,0,3,30,13,30,5,2020,0
24,,18,福井県,38,9.47839,9.47839,2,8,3,3,6,2,6,8,0,29,9,0,1,11,25,2,23,9,0,9,5,1,29,2,1,1,0,5,0,27,2,2,4,0,3,0,3,2,2,7,5,5,5,3,2,3,0,1,0,5,8,7,4,5,7,2,0,12,25,2,2,7,1,3,5,10,24,4,2020,0
25,,19,山梨県,42,9.973902,9.973902,5,3,4,9,5,7,7,2,0,32,10,0,1,8,33,4,29,9,0,6,14,0,27,1,0,5,1,8,0,26,1,0,6,4,5,0,2,4,3,1,4,3,3,9,4,2,1,2,4,8,8,3,3,10,4,6,0,6,21,1,0,2,3,3,16,12,21,9,2020,0
26,,20,長野県,112,10.49461,10.49461,1,13,7,18,14,20,16,23,0,86,25,1,4,26,82,2,80,9,0,48,23,0,79,0,4,13,1,15,0,77,6,5,9,2,13,0,5,3,5,6,9,12,4,10,8,7,7,3,33,16,20,20,12,10,17,14,3,18,72,2,6,6,1,9,25,18,53,41,2020,0
27,,21,岐阜県,110,10.55699,10.55699,4,16,7,18,19,13,18,15,0,82,28,0,5,15,89,9,80,15,0,37,28,1,68,3,2,12,1,24,0,68,3,3,12,2,22,0,12,4,10,10,7,9,9,10,3,8,5,6,17,13,15,19,15,8,18,18,4,18,63,5,8,3,2,6,33,29,50,31,2020,0
28,,22,静岡県,194,10.34887,10.34887,6,22,21,38,34,23,24,26,0,151,43,0,3,56,135,6,129,24,6,32,67,0,127,5,4,19,5,34,0,128,3,8,18,3,34,0,26,11,10,20,12,12,21,9,20,9,7,6,31,31,26,31,30,26,27,22,1,32,105,22,9,9,4,11,66,59,104,31,2020,0
29,,23,愛知県,397,10.51043,10.51043,25,48,49,62,46,50,65,51,1,298,95,4,10,103,283,26,257,62,6,93,96,1,249,51,9,24,2,62,0,250,8,16,68,14,41,0,38,29,38,38,30,36,29,46,42,21,21,25,4,74,58,51,56,56,47,55,0,69,228,25,29,21,15,22,88,104,249,44,2020,0
30,,24,三重県,113,12.21426,12.21426,2,11,11,21,12,17,20,19,0,87,26,0,1,18,92,3,89,32,2,24,31,2,58,6,7,9,1,32,0,74,2,7,11,6,13,0,6,9,12,10,8,11,8,11,18,9,6,5,0,20,20,12,17,15,13,16,0,7,66,3,1,2,0,2,32,35,69,9,2020,0
31,,25,滋賀県,81,11.26768,11.26768,3,10,9,14,8,8,16,13,0,58,23,0,0,20,61,4,57,11,0,31,15,0,53,4,4,5,1,14,0,54,6,4,6,2,9,0,7,5,6,8,5,6,10,8,3,7,6,6,4,12,13,8,14,8,15,11,0,23,70,6,5,4,3,3,7,31,46,4,2020,0
32,,26,京都府,122,9.202394,9.202394,3,10,15,21,15,15,30,13,0,77,45,0,5,21,95,2,93,25,3,45,20,1,84,10,3,3,1,21,0,83,1,8,15,3,12,0,9,8,1,7,5,9,6,6,2,7,11,0,51,20,20,9,19,21,14,15,4,15,75,8,4,3,1,7,42,37,61,24,2020,0
33,,27,大阪府,530,11.57128,11.57128,23,60,54,75,92,64,99,63,0,354,176,0,10,106,414,26,388,57,4,227,100,0,316,120,3,24,2,65,0,301,21,10,120,24,54,0,38,37,32,50,39,46,50,27,47,32,29,15,88,73,79,64,91,81,76,62,4,127,492,44,17,29,12,36,6,164,310,56,2020,0
34,,28,兵庫県,292,10.10622,10.10622,10,33,30,50,44,40,49,36,0,224,67,1,4,67,221,17,204,38,5,109,52,0,183,43,6,19,3,38,0,169,11,11,53,8,40,0,29,18,20,31,29,28,27,21,30,21,21,17,0,39,47,31,49,46,46,34,0,70,279,23,13,13,12,10,5,93,177,22,2020,0
35,,29,奈良県,75,10.54849,10.54849,5,7,5,12,18,9,13,6,0,60,15,0,1,17,57,6,51,21,0,12,18,0,51,6,3,3,0,12,0,53,1,2,7,3,9,0,2,6,10,8,1,9,8,11,8,2,0,4,6,4,9,12,18,7,12,13,0,22,68,2,3,5,0,9,6,17,52,6,2020,0
36,,30,和歌山県,47,9.354668,9.354668,0,3,4,7,6,8,9,10,0,34,13,0,3,9,35,0,35,5,1,10,19,0,36,1,0,5,0,5,0,34,0,1,3,0,9,0,7,1,6,3,4,3,7,4,3,5,2,0,2,5,13,3,8,4,6,8,0,10,28,4,1,2,0,2,16,11,27,9,2020,0
37,,31,鳥取県,16,5.468777,5.468777,0,2,3,3,2,1,4,1,0,11,5,0,0,4,12,1,11,2,0,2,7,0,13,0,1,1,0,1,0,15,0,0,0,0,1,0,1,1,1,0,0,1,2,3,0,1,0,1,5,1,3,2,0,4,1,2,3,2,5,3,2,0,0,0,6,5,6,5,2020,0
38,,32,島根県,29,8.216857,8.216857,1,4,2,7,5,2,4,4,0,23,6,0,0,6,23,0,23,3,1,7,12,0,21,1,1,0,0,6,0,24,0,1,4,0,0,0,1,0,2,3,3,1,5,6,3,0,1,1,3,6,6,6,4,3,3,1,0,5,20,1,2,1,1,0,7,10,13,6,2020,0
39,,33,岡山県,77,7.8279,7.8279,6,7,10,12,7,17,7,11,0,60,17,0,1,10,66,7,59,19,3,20,17,0,56,4,3,3,1,10,0,58,5,3,5,1,5,0,2,9,1,7,3,7,8,9,5,3,4,5,14,17,14,10,5,10,12,7,2,14,43,2,3,4,2,5,29,26,40,11,2020,0
40,,34,広島県,155,10.66025,10.66025,6,18,16,19,22,26,33,15,0,120,34,1,1,41,113,7,106,32,3,50,21,0,107,16,3,14,3,12,0,105,4,2,19,1,24,0,9,7,10,7,8,6,11,13,13,10,5,4,52,26,19,25,26,16,15,24,4,28,116,12,13,7,5,12,29,44,87,24,2020,0
41,,35,山口県,73,10.1596,10.1596,2,5,4,15,15,10,9,13,0,51,22,0,0,17,56,2,54,11,0,27,16,0,50,7,1,2,2,11,0,56,0,1,9,0,7,0,4,2,1,3,3,8,3,7,6,6,0,5,25,4,13,12,8,11,12,10,3,24,54,1,4,0,2,8,16,23,43,7,2020,0
42,,36,徳島県,38,9.803415,9.803415,1,6,6,5,5,6,4,5,0,27,11,0,1,11,25,1,24,4,0,9,11,1,32,0,1,2,1,2,0,31,1,2,1,0,3,0,3,0,1,1,1,3,3,2,3,2,0,1,18,4,7,7,4,6,5,4,1,4,21,1,1,3,0,1,13,14,18,6,2020,0
43,,37,香川県,43,8.495371,8.495371,3,3,5,7,7,3,10,5,0,30,13,0,1,8,34,3,31,9,2,15,5,0,30,3,0,5,0,5,0,30,0,1,5,0,7,0,2,0,5,5,2,7,9,0,4,4,1,2,2,6,6,6,9,7,3,6,0,13,26,3,0,3,0,0,9,13,29,1,2020,0
44,,38,愛媛県,74,10.29183,10.29183,3,3,11,13,13,10,12,9,0,59,15,0,1,16,57,2,55,14,0,15,26,0,51,3,4,6,2,8,0,46,1,6,7,1,13,0,3,10,6,2,5,7,8,7,7,6,2,3,8,15,13,11,7,6,12,7,3,12,38,5,3,2,1,1,31,26,35,13,2020,0
45,,39,高知県,32,8.552445,8.552445,1,3,2,6,8,6,1,5,0,27,5,0,2,9,21,0,21,7,1,7,6,0,14,3,3,7,1,4,0,14,1,4,6,0,7,0,2,4,1,2,2,4,2,5,4,1,2,0,3,4,8,5,2,5,3,4,1,10,18,5,1,0,1,1,9,13,17,2,2020,0
46,,40,福岡県,292,10.86015,10.86015,12,42,42,52,34,41,34,35,0,209,83,0,4,63,222,22,200,44,5,60,91,3,182,37,7,22,3,41,0,173,8,12,53,5,41,0,14,21,15,19,22,25,21,27,31,14,20,22,41,41,54,31,40,45,36,42,3,80,212,17,14,23,8,15,40,101,146,45,2020,0
47,,41,佐賀県,27,6.24666,6.24666,1,3,2,3,3,4,3,8,0,20,7,0,1,2,24,3,21,5,0,13,3,0,18,0,2,2,0,5,0,21,1,2,1,0,2,0,1,3,1,7,0,3,3,0,4,1,0,1,3,3,1,5,7,3,6,2,0,5,22,2,3,2,0,5,1,10,14,3,2020,0
48,,42,長崎県,63,8.822714,8.822714,3,2,4,11,6,13,14,10,0,51,12,0,3,10,50,3,47,13,3,15,16,0,49,1,2,7,1,3,0,46,1,3,3,0,10,0,1,5,5,3,4,8,5,3,4,6,3,4,12,2,12,8,9,9,13,8,2,12,44,6,0,2,1,7,14,22,35,6,2020,0
49,,43,熊本県,76,8.168899,8.168899,4,4,7,15,6,10,15,15,0,60,16,0,5,16,55,3,52,8,2,35,7,0,54,5,2,5,3,7,0,54,5,3,5,1,8,0,6,3,6,2,1,12,6,6,6,5,4,2,17,14,13,10,11,11,10,6,1,14,55,2,7,3,1,2,16,32,30,14,2020,0
50,,44,大分県,55,9.112311,9.112311,3,5,4,4,7,10,16,6,0,44,11,0,0,12,43,3,40,9,1,17,13,0,32,2,3,5,2,11,0,31,2,3,6,3,10,0,2,3,3,9,1,8,5,8,3,2,3,1,7,15,5,8,5,2,7,12,1,10,33,3,4,1,1,6,18,16,33,6,2020,0
51,,45,宮崎県,74,12.824,12.824,3,5,11,12,5,11,11,16,0,52,22,0,6,19,49,3,46,6,0,25,15,0,46,7,3,7,2,9,0,48,6,3,12,0,5,0,3,5,6,9,1,4,6,8,10,4,3,5,10,14,13,9,7,11,7,12,1,14,53,3,2,8,2,4,20,31,31,12,2020,0
52,,46,鹿児島県,77,8.946217,8.946217,4,10,8,9,9,9,13,15,0,53,24,0,3,15,59,4,55,8,0,30,17,0,53,3,3,3,2,13,0,57,5,4,6,0,5,0,5,4,8,5,6,7,5,7,9,3,1,2,15,8,15,12,9,11,14,7,1,12,46,6,6,5,1,6,20,26,44,7,2020,0
53,,47,沖縄県,53,7.06274,7.06274,2,8,7,12,9,7,5,3,0,42,10,1,0,12,40,4,36,7,1,10,18,1,26,6,1,8,1,11,0,24,3,2,13,0,11,0,4,2,1,2,6,2,2,1,7,1,1,1,23,6,8,8,7,13,7,2,2,11,37,5,2,2,0,5,16,27,15,11,2020,0
54,,99,不明,15,0,0,0,1,0,2,2,2,1,0,7,1,6,8,0,0,6,0,6,0,0,0,6,9,0,0,1,3,2,9,0,5,1,0,3,3,2,1,0,1,0,2,0,0,0,0,1,3,1,1,6,2,1,2,3,2,2,0,3,2,4,1,0,0,0,0,10,1,3,11,2020,0
